,year,month,customer_type,monthly_usage,zip_code,geometry,latitude,longitude,geo
10479,2017.0,5,COMMERCIAL,63240.0,37069,"(35.985493, -86.899213)",35.985493,-86.89921,POINT (-86.89921 35.985493)
10480,2017.0,5,RESIDENTIAL,420896.0,37015,"(36.29003, -87.070106)",87.070106,-87.07010,POINT (-87.0701 87.070106)
10481,2017.0,5,COMMERCIAL,153847.0,37220,"(36.06788, -86.776955)",86.776955,-86.77695,POINT (-86.77695 86.776955)
10482,2017.0,5,OUTDOOR LIGHTING,4406.0,37013,"(36.049335, -86.641832)",36.049335,-86.64183,POINT (-86.64183 36.049335)
10483,2017.0,5,RESIDENTIAL,4058171.0,37115,"(36.262567, -86.704171)",36.262567,-86.70417,POINT (-86.70417 36.262567)
10484,2017.0,5,RESIDENTIAL,39925.0,37201,"(36.164553, -86.776977)",36.164553,-86.77697,POINT (-86.77697000000001 36.164553)
10485,2017.0,5,COMMERCIAL,14397572.0,37204,"(36.109305, -86.776748)",36.109305,-86.77674,POINT (-86.77674 36.109305)
10486,2017.0,5,RESIDENTIAL,3855613.0,37076,"(36.175185, -86.5933)",36.175185,,POINT (nan 36.175185)
10487,2017.0,5,COMMERCIAL,590008.0,37206,"(36.18095, -86.739624)",86.739624,-86.73962,POINT (-86.73962 86.73962400000001)
10488,2017.0,5,RESIDENTIAL,497022.0,37203,"(36.150195, -86.790206)",36.150195,-86.79020,POINT (-86.7902 36.150195)
10489,2017.0,5,COMMERCIAL,130978.0,37219,"(36.167467, -86.783669)",36.167467,-86.78366,POINT (-86.78366 36.167467)
10490,2017.0,5,OUTDOOR LIGHTING,22682.0,37086,"(36.014912, -86.5643)",36.014912,,POINT (nan 36.014912)
10491,2017.0,5,OUTDOOR LIGHTING,11900.0,37211,"(36.069132, -86.724578)",36.069132,-86.72457,POINT (-86.72457 36.069132)
10492,2017.0,5,COMMERCIAL,46800.0,37152,"(36.396526, -86.765833)",36.396526,-86.76583,POINT (-86.76582999999999 36.396526)
10493,2017.0,5,COMMERCIAL,103500.0,37238,"(36.166067, -86.779698)",36.166067,-86.77969,POINT (-86.77969 36.166067)
10494,2017.0,5,RESIDENTIAL,2225211.0,37216,"(36.216134, -86.726204)",36.216134,-86.72620,POINT (-86.72620000000001 36.216134)
10495,2017.0,5,RESIDENTIAL,1260357.0,37212,"(36.133256, -86.801456)",36.133256,-86.80145,POINT (-86.80145 36.133256)
10496,2017.0,5,COMMERCIAL,39845.0,37015,"(36.29003, -87.070106)",87.070106,-87.07010,POINT (-87.0701 87.070106)
10497,2017.0,5,COMMERCIAL,407674.0,37138,"(36.239455, -86.611783)",36.239455,-86.61178,POINT (-86.61178 36.239455)
10498,2017.0,5,COMMERCIAL,4559.0,37122,"(36.187906, -86.500085)",36.187906,-86.50008,POINT (-86.50008 36.187906)
10499,2017.0,5,COMMERCIAL,569712.0,37066,"(36.387698, -86.459057)",36.387698,-86.45905,POINT (-86.45905 36.387698)
10500,2017.0,5,RESIDENTIAL,2662355.0,37209,"(36.149599, -86.874487)",36.149599,-86.87448,POINT (-86.87448000000001 36.149599)
10501,2017.0,5,COMMERCIAL,14305933.0,37207,"(36.224945, -86.775061)",36.224945,-86.77506,POINT (-86.77506 36.224945)
10502,2017.0,5,COMMERCIAL,343613.0,37216,"(36.216134, -86.726204)",36.216134,-86.72620,POINT (-86.72620000000001 36.216134)
10503,2017.0,5,COMMERCIAL,446861.0,37086,"(36.014912, -86.5643)",36.014912,,POINT (nan 36.014912)
10504,2017.0,5,SEASONAL CUSTOMER,17120.0,37205,"(36.112469, -86.867263)",36.112469,-86.86726,POINT (-86.86726 36.112469)
10505,2017.0,5,OUTDOOR LIGHTING,35672.0,37027,"(36.00245, -86.778709)",86.778709,-86.77870,POINT (-86.7787 86.77870900000001)
10506,2017.0,5,OUTDOOR LIGHTING,1236.0,37217,"(36.106646, -86.667608)",36.106646,-86.66760,POINT (-86.66759999999999 36.106646)
10507,2017.0,5,RESIDENTIAL,363496.0,37143,"(36.12259, -87.03587)",,-87.03587,POINT (-87.03587 nan)
10508,2017.0,5,RESIDENTIAL,2482674.0,37217,"(36.106646, -86.667608)",36.106646,-86.66760,POINT (-86.66759999999999 36.106646)
10509,2017.0,6,OUTDOOR LIGHTING,11800.0,37211,"(36.069132, -86.724578)",36.069132,-86.72457,POINT (-86.72457 36.069132)
10510,2017.0,6,OUTDOOR LIGHTING,719.0,37206,"(36.18095, -86.739624)",86.739624,-86.73962,POINT (-86.73962 86.73962400000001)
10511,2017.0,6,COMMERCIAL,628000.0,37237,,,,POINT (nan nan)
10512,2017.0,6,COMMERCIAL,27655613.0,37210,"(36.140869, -86.738847)",36.140869,-86.73884,POINT (-86.73884 36.140869)
10513,2017.0,6,RESIDENTIAL,2094437.0,37220,"(36.06788, -86.776955)",86.776955,-86.77695,POINT (-86.77695 86.776955)
10514,2017.0,6,RESIDENTIAL,3618223.0,37209,"(36.149599, -86.874487)",36.149599,-86.87448,POINT (-86.87448000000001 36.149599)
10515,2017.0,6,COMMERCIAL,849694.0,37208,"(36.176427, -86.805176)",36.176427,-86.80517,POINT (-86.80517 36.176427)
10516,2017.0,6,RESIDENTIAL,4652266.0,37214,"(36.168995, -86.667231)",36.168995,-86.66723,POINT (-86.66723 36.168995)
10517,2017.0,6,COMMERCIAL,162090.0,37213,"(36.167552, -86.767564)",36.167552,-86.76756,POINT (-86.76756 36.167552)
