,year,month,customer_type,monthly_usage(kWh),zip_code,geometry
7465,2012.0,2,COMCOMM =< 50 KW              COMCOMM 3-PHASE,2006597.0,37075,"(36.323052, -86.60557)"
7466,2012.0,2,OLMOLB METERED,0.0,37073,"(36.42764, -86.812249)"
7467,2012.0,2,OLMOLB METERED,577.0,37205,"(36.112469, -86.867263)"
7468,2012.0,2,COMCOMM =< 50 KW              COMCOMM 3-PHASE,2559.0,37082,"(36.08832, -87.117051)"
7469,2012.0,2,OLMOLB METERED,4668.0,37204,"(36.109305, -86.776748)"
7470,2012.0,2,OLMOLB METERED,2608.0,37072,"(36.350389, -86.731255)"
7471,2012.0,2,COMCOMM > 50 KW,24504918.0,37214,"(36.168995, -86.667231)"
7472,2012.0,2,COMCOMM > 50 KW,11164943.0,37013,"(36.049335, -86.641832)"
7473,2012.0,2,OLMOLB METERED,640.0,37211,"(36.069132, -86.724578)"
7474,2012.0,2,RESRESIDENTIAL                SRSRESID. SUPPL.,771058.0,37143,"(36.12259, -87.03587)"
7475,2012.0,2,RESRESIDENTIAL                SRSRESID. SUPPL.,8477266.0,37072,"(36.350389, -86.731255)"
7476,2012.0,2,COMCOMM > 50 KW,427200.0,37242,"(36.165017, -86.782171)"
7477,2012.0,2,RESRESIDENTIAL                SRSRESID. SUPPL.,4963764.0,37216,"(36.216134, -86.726204)"
7478,2012.0,2,OLMOLB METERED,2691.0,37138,"(36.239455, -86.611783)"
7479,2012.0,2,OLMOLB METERED,6456.0,37210,"(36.140869, -86.738847)"
7480,2012.0,2,COMCOMM =< 50 KW              COMCOMM 3-PHASE,31328.0,37143,"(36.12259, -87.03587)"
7481,2012.0,2,COMCOMM > 50 KW,19600.0,37202,"(36.158527, -86.782923)"
7482,2012.0,2,COMCOMM > 50 KW,549174.0,37066,"(36.387698, -86.459057)"
7483,2012.0,2,SEASEAS > 50 KW,0.0,37212,"(36.133256, -86.801456)"
7484,2012.0,2,COMCOMM =< 50 KW              COMCOMM 3-PHASE,27247.0,37066,"(36.387698, -86.459057)"
7485,2012.0,2,COMCOMM =< 50 KW              COMCOMM 3-PHASE,201547.0,37220,"(36.06788, -86.776955)"
7486,2012.0,2,COMCOMM > 50 KW,9493476.0,37205,"(36.112469, -86.867263)"
7487,2012.0,2,COMCOMM > 50 KW,8147778.0,37072,"(36.350389, -86.731255)"
7488,2012.0,2,RESRESIDENTIAL                SRSRESID. SUPPL.,2230023.0,37210,"(36.140869, -86.738847)"
7489,2012.0,2,OLMOLB METERED,3140.0,37221,"(36.064367, -86.96029)"
7490,2012.0,2,COMCOMM > 50 KW,18040792.0,37211,"(36.069132, -86.724578)"
7491,2012.0,2,RESRESIDENTIAL                SRSRESID. SUPPL.,31780.0,37082,"(36.08832, -87.117051)"
7492,2012.0,2,OLMOLB METERED,1308.0,37217,"(36.106646, -86.667608)"
7493,2012.0,2,COMCOMM > 50 KW,45120.0,37152,"(36.396526, -86.765833)"
7494,2012.0,2,RESRESIDENTIAL                SRSRESID. SUPPL.,6042401.0,,
7495,2016.0,2,COMMERCIAL,4256.0,37015,
7496,2012.0,2,RESRESIDENTIAL                SRSRESID. SUPPL.,8141274.0,37075,"(36.323052, -86.60557)"
7497,2012.0,2,RESRESIDENTIAL                SRSRESID. SUPPL.,475008.0,37069,"(35.985493, -86.899213)"
7498,2012.0,2,COMCOMM > 50 KW,13973922.0,37207,"(36.224945, -86.775061)"
7499,2012.0,2,COMCOMM > 50 KW,4773672.0,,
7500,2012.0,2,COMCOMM =< 50 KW              COMCOMM 3-PHASE,18675.0,37073,"(36.42764, -86.812249)"
7501,2012.0,2,SEASEAS =< 50 KW,0.0,37086,"(36.014912, -86.5643)"
7502,2012.0,2,COMCOMM =< 50 KW              COMCOMM 3-PHASE,1533384.0,37204,"(36.109305, -86.776748)"
7503,2012.0,12,COMCOMM =< 50 KW              COMCOMM 3-PHASE,1524031.0,37207,"(36.224945, -86.775061)"
7504,2012.0,12,RESRESIDENTIAL                SRSRESID. SUPPL.,2002580.0,37210,"(36.140869, -86.738847)"
7505,2012.0,12,OLMOLB METERED,2505.0,,
7506,2012.0,12,OLMOLB METERED,200.0,,
7507,2012.0,12,COMCOMM > 50 KW,21300.0,,
7508,2012.0,12,COMCOMM > 50 KW,5070281.0,37218,"(36.210699, -86.866798)"
7509,2012.0,12,COMCOMM > 50 KW,13657164.0,,
7510,2012.0,12,OLMOLB METERED,98784.0,37212,"(36.133256, -86.801456)"
7511,2012.0,12,RESRESIDENTIAL                SRSRESID. SUPPL.,7871322.0,37075,"(36.323052, -86.60557)"
7512,2012.0,12,OLMOLB METERED,5619.0,37214,"(36.168995, -86.667231)"
7513,2016.0,2,COMMERCIAL,22091663.0,37210,
7514,2012.0,12,RESRESIDENTIAL                SRSRESID. SUPPL.,7121606.0,37072,"(36.350389, -86.731255)"
